Date,Description,Amount,Balance
2026-03-01,Apartments Rent Payment,-1500.00,3000.00
2026-03-02,Starbucks Coffee,-6.50,2993.50
2026-03-04,Whole Foods Market,-112.40,2881.10
2026-03-05,City Electric Utility,-125.40,2755.70
2026-03-08,Chevron Gas Station,-45.00,2710.70
2026-03-10,Employer Direct Deposit Salary,4500.00,7210.70
2026-03-12,Netflix Subscription,-22.99,7187.71
2026-03-15,Comcast Internet,-75.00,7112.71
2026-03-18,Starbucks Coffee,-4.50,7108.21
2026-03-20,Uber Trip Ride,-18.50,7089.71
2026-03-22,Whole Foods Market,-134.80,6954.91
2026-03-25,Spotify Music Premium,-14.99,6939.92
2026-03-28,Local Diner Restaurant,-42.60,6897.32
2026-04-01,Apartments Rent Payment,-1500.00,5397.32
2026-04-02,Starbucks Coffee,-8.50,5388.82
2026-04-04,Whole Foods Market,-125.90,5262.92
2026-04-05,City Electric Utility,-120.00,5142.92
2026-04-08,Chevron Gas Station,-45.00,5097.92
2026-04-10,Employer Direct Deposit Salary,4500.00,9597.92
2026-04-12,Netflix Subscription,-22.99,9574.93
2026-04-15,Comcast Internet,-75.00,9499.93
2026-04-17,Uber Trip Ride,-22.00,9477.93
2026-04-22,Whole Foods Market,-141.20,9336.73
2026-04-25,Spotify Music Premium,-14.99,9321.74
2026-04-28,McDonalds Fast Food,-18.40,9303.34
2026-05-01,Apartments Rent Payment,-1500.00,7803.34
2026-05-02,Starbucks Coffee,-7.20,7796.14
2026-05-04,Whole Foods Market,-118.50,7677.64
2026-05-05,City Electric Utility,-132.80,7544.84
2026-05-08,Chevron Gas Station,-45.00,7499.84
2026-05-10,Employer Direct Deposit Salary,4500.00,11999.84
2026-05-12,Netflix Subscription,-22.99,11976.85
2026-05-15,Comcast Internet,-75.00,11901.85
2026-05-18,Starbucks Coffee,-15.50,11886.35
2026-05-18,Starbucks Coffee,-15.50,11870.85
2026-05-20,Uber Trip Ride,-16.50,11854.35
2026-05-22,Whole Foods Market,-152.30,11702.05
2026-05-24,Apple Store Hardware,-2499.00,9203.05
2026-05-25,Spotify Music Premium,-14.99,9188.06
2026-05-28,Local Burger Grill,-28.50,9159.56
